@RELATION changeToArff

@ATTRIBUTE bidnumber REAL
@ATTRIBUTE bidtext REAL
@ATTRIBUTE numberofdicetobid REAL
@ATTRIBUTE diceselectedforcurrentbid REAL
@ATTRIBUTE die1 REAL
@ATTRIBUTE die2 REAL
@ATTRIBUTE die3 REAL
@ATTRIBUTE die4 REAL
@ATTRIBUTE die5 REAL
@ATTRIBUTE remainingdice REAL
@ATTRIBUTE round REAL
@ATTRIBUTE somestat REAL
@ATTRIBUTE 0or1 REAL

@DATA
2,4,5,1,3,4,3,?,?,15,6,0.01,1
4,2,3,1,5,4,3,?,?,14,7,0.46,1
5,4,5,1,5,4,3,?,?,14,7,0.01,0
?,?,1,1,5,5,?,?,?,13,8,16.67,1
5,3,4,1,5,5,?,?,?,13,8,0.08,1
1,2,3,1,5,3,?,?,?,12,9,0.46,1
4,4,5,1,5,3,?,?,?,12,9,0.01,1
5,2,3,1,5,3,?,?,?,11,10,0.46,1
5,5,6,1,5,3,?,?,?,11,10,0,0
?,?,1,1,1,?,?,?,?,10,11,100,1
4,3,4,1,1,?,?,?,?,10,11,0.46,1
4,3,4,1,1,?,?,?,?,9,12,0.46,1
4,2,3,1,6,?,?,?,?,8,13,0.46,1
5,1,2,1,4,?,?,?,?,7,14,2.78,1
1,3,4,1,4,?,?,?,?,7,14,0.08,1
1,3,4,1,4,?,?,?,?,7,14,0.08,0
6,3,4,1,2,4,6,5,2,20,1,0.08,1
6,2,3,1,1,3,1,1,5,19,2,100,1
